,Submission id,Participant id,Status_x,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Religious affiliation,Fluent languages,Participation in regular religious activities,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,Status_y,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,1.3,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2,PROLIFIC_PID
50,67c6b7ad63e133a5d1f52836,655945b32828d333bae0caad,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:16.679000Z,2025-03-04T08:29:02.920000Z,,2025-03-04T08:29:03.645879Z,527.0,NOCODE,95,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,24,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:20:22,2025-03-04 03:28:06,IP Address,165.16.180.213,100,464,True,2025-03-04 03:28:07,R_2ZU1SzG9UL38ppt,,,,,-26.2309,28.0583,anonymous,ZH-T,655945b32828d333bae0caad,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,very likely to increase,remain the same,may decrease,remain the same,remain the same,remain the same,very likely to increase,remain the same,remain the same,very likely to increase,definitely increase,very likely to increase,definitely increase,remain the same,stay the same,655945b32828d333bae0caad
51,67c6b7b61c2834af964ae3b2,611c21d2ad4d42c395feaa73,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:06.677000Z,2025-03-04T08:27:40.372000Z,,2025-03-04T08:27:41.023480Z,454.0,NOCODE,457,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,42,Male,Black,South Africa,South Africa,South Africa,English,No,Part-Time,2025-03-04 03:20:14,2025-03-04 03:27:08,IP Address,154.119.228.33,100,414,True,2025-03-04 03:27:09,R_8gYMfdJiZN582MC,,,,,-26.2309,28.0583,anonymous,ZH-T,611c21d2ad4d42c395feaa73,strongly believe,undergraduate (college/University),Daily or more,Yes,may decrease,very likely to increase,remain the same,very likely to increase,may decrease,remain the same,definitely increase,very likely to increase,very likely to increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,may decrease,definitely increase,611c21d2ad4d42c395feaa73
52,67c6b7bdd7344e90634e5b39,5cf8e0107d0e5c00166bc2db,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:19.136000Z,2025-03-04T08:25:05.873000Z,,2025-03-04T08:25:06.550873Z,287.0,NOCODE,341,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2025-03-04 03:20:22,2025-03-04 03:24:25,IP Address,85.255.234.190,100,242,True,2025-03-04 03:24:25,R_2WNfSWI3S7ZJt6x,,,,,51.4964,-0.1224,anonymous,ZH-T,5cf8e0107d0e5c00166bc2db,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,may increase,remain the same,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may increase,definitely increase,remain the same,remain the same,remain the same,definitely increase,5cf8e0107d0e5c00166bc2db
53,67c6b7c29d13681458f4eb44,616d22471eeb54d1b98db03c,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:18.866000Z,2025-03-04T08:26:53.492000Z,,2025-03-04T08:26:54.377835Z,395.0,NOCODE,338,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English",Yes. Both public and private,36,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:20:22,2025-03-04 03:26:38,IP Address,41.193.183.24,100,376,True,2025-03-04 03:26:39,R_2F5qExzkUfs3ecC,,,,,-26.2309,28.0583,anonymous,ZH-T,616d22471eeb54d1b98db03c,strongly believe,high school,Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,stay the same,616d22471eeb54d1b98db03c
54,67c6b7c7e1f297528663d62a,60bc1812a1fac5ed1b9e3689,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:23.200000Z,2025-03-04T08:47:39.053000Z,,2025-03-04T08:47:39.897896Z,1636.0,NOCODE,416,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:20:27,2025-03-04 03:47:21,IP Address,165.73.51.88,100,1614,True,2025-03-04 03:47:22,R_2w13QdJnN69rO61,,,,,-26.2309,28.0583,anonymous,ZH-T,60bc1812a1fac5ed1b9e3689,somewhat believe,undergraduate (college/University),Once a month,Yes,very likely to increase,remain the same,may increase,may increase,may increase,very likely to increase,may increase,remain the same,very likely to increase,very likely to decrease,very likely to increase,may increase,may increase,may increase,very likely to increase,may increase,60bc1812a1fac5ed1b9e3689
55,67c6b7c847380c9f438b5be6,67c1c8a79e72918ed2e10b51,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:24.451000Z,2025-03-04T08:24:39.794000Z,,2025-03-04T08:24:40.643889Z,256.0,NOCODE,0,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,54,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:20:27,2025-03-04 03:24:12,IP Address,41.13.146.80,100,224,True,2025-03-04 03:24:13,R_2MTau2IVx77F8Tg,,,,,-29.8553,31.0428,anonymous,ZH-T,67c1c8a79e72918ed2e10b51,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,67c1c8a79e72918ed2e10b51
56,67c6b7ca30e37cd0b6e6a009,6710c8694c351be78fb98684,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:35.469000Z,2025-03-04T08:25:58.294000Z,,2025-03-04T08:25:58.941939Z,323.0,NOCODE,158,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Greek, Afrikaans, Albanian, Amharic, Arabic, Armenian, Basque, Bengali, Belarusian, Burmese, Bulgarian, Catalan, Czech, Chinese, Croatian, Danish, Dari, Dutch, English, Esperanto, Estonian, Faroese, Farsi, Finnish, French, Gaelic, Galician, German, Hebrew, Hindi, Indonesian, Hungarian, Italian, Japanese, Khmer, Korean, Inuktitut, Icelandic, Kurdish, Laotian, Latvian, Lappish, Lithuanian, Macedonian, Malay, Maltese, Nepali, Norwegian, Pashto, Polish, Portuguese, Romanian, Russian, Scots, Serbian, Slovak, Slovenian, Somali, Spanish, Swedish, Swahili, Tagalog-Filipino, Tajik, Tamil, Thai, Tibetan, Tigrinya, Tongan, Turkish, Turkmen, Ukrainian, Urdu, Uzbek, Welsh, Vietnamese",Yes. Both public and private,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:20:43,2025-03-04 03:25:07,IP Address,41.113.205.86,100,263,True,2025-03-04 03:25:08,R_8D0SZ71Kl4m5x3a,,,,,-26.2309,28.0583,anonymous,ZH-T,6710c8694c351be78fb98684,strongly believe,graduate school (postgraduate),Once a month,Yes,may increase,remain the same,may increase,may increase,may increase,may increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,definitely increase,6710c8694c351be78fb98684
57,67c6b7cb1e1324109e4c6909,6060b63e4ccfcf7b44479d8b,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:38.928000Z,2025-03-04T08:26:29.931000Z,,2025-03-04T08:26:30.835995Z,352.0,NOCODE,605,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English",Yes. Both public and private,22,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:20:46,2025-03-04 03:25:58,IP Address,41.144.40.192,100,311,True,2025-03-04 03:25:58,R_2c2ovGx1iB8PmsF,,,,,-29.8553,31.0428,anonymous,ZH-T,6060b63e4ccfcf7b44479d8b,strongly believe,graduate school (postgraduate),Daily or more,Yes,may decrease,may decrease,remain the same,remain the same,remain the same,remain the same,may increase,very likely to increase,remain the same,remain the same,very likely to increase,may increase,remain the same,may increase,remain the same,stay the same,6060b63e4ccfcf7b44479d8b
58,67c6b7d017cdc585d545bab8,6145b0cbb10dd9c806f4b77a,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:41.606000Z,2025-03-04T08:29:50.827000Z,,2025-03-04T08:29:51.794358Z,550.0,NOCODE,219,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,43,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:20:44,2025-03-04 03:29:35,IP Address,197.90.236.241,100,531,True,2025-03-04 03:29:36,R_8Q4QnCerGDVjg40,,,,,-26.2309,28.0583,anonymous,ZH-T,6145b0cbb10dd9c806f4b77a,strongly believe,undergraduate (college/University),Daily or more,Yes,may decrease,very likely to increase,remain the same,may increase,may decrease,may decrease,definitely increase,very likely to increase,remain the same,definitely increase,very likely to increase,very likely to increase,remain the same,remain the same,definitely decrease,very likely to increase,6145b0cbb10dd9c806f4b77a
59,67c6b7d3d286b170d04e5b23,5fd391f111059f000ac10cde,TIMED-OUT,Not Applicable,2025-03-04T08:25:37.486000Z,,,2025-03-04T09:13:49.490091Z,2893.0,,418,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:36:05,2025-03-04 03:56:31,IP Address,41.147.0.85,100,1226,True,2025-03-04 03:56:32,R_8CDRUa3RMXKB3w7,,,,,-33.914,18.4129,anonymous,ZH-T,5fd391f111059f000ac10cde,somewhat believe,undergraduate (college/University),Once a few months,Yes,remain the same,may increase,may increase,may increase,remain the same,may increase,very likely to increase,may increase,may increase,may increase,remain the same,remain the same,remain the same,remain the same,may increase,may increase,5fd391f111059f000ac10cde
60,67c6b7d95f4200e5d0ec6c0f,611e4fafd13d36faf98fdb26,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:46.695000Z,2025-03-04T08:25:00.739000Z,,2025-03-04T08:25:01.372372Z,255.0,"Thank you for taking the time to complete this survey. If you have any questions or concerns, please email zehong@um.edu.mo",659,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,45,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:20:49,2025-03-04 03:24:46,IP Address,41.145.197.59,100,237,True,2025-03-04 03:24:47,R_2trqSMZo2L504NU,,,,,-26.2309,28.0583,anonymous,ZH-T,611e4fafd13d36faf98fdb26,strongly believe,undergraduate (college/University),Once a week,Yes,very likely to increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,very likely to increase,definitely increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,611e4fafd13d36faf98fdb26
61,67c6b7d9d5d77e8b161e85d4,6138834a89e29de2abdc8e02,AWAITING REVIEW,Not Applicable,2025-03-04T08:20:41.053000Z,2025-03-04T08:32:57.630000Z,,2025-03-04T08:32:58.384153Z,737.0,NOCODE,395,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Afrikaans",Yes. Both public and private,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:20:44,2025-03-04 03:32:45,IP Address,196.30.68.148,100,721,True,2025-03-04 03:32:46,R_82P5uaOdrnj1YS5,,,,,-26.2653,27.8595,anonymous,ZH-T,6138834a89e29de2abdc8e02,somewhat believe,graduate school (postgraduate),Once a week,Yes,may decrease,very likely to increase,definitely increase,definitely increase,remain the same,very likely to increase,may increase,very likely to increase,may increase,definitely increase,very likely to increase,definitely increase,definitely increase,definitely increase,definitely decrease,definitely increase,6138834a89e29de2abdc8e02
62,67c6b7e7af08f9bd1b3fb328,664b5195ae42ba03b70189c6,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:16.793000Z,2025-03-04T08:32:20.407000Z,,2025-03-04T08:32:22.349221Z,664.0,None,36,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,24,Male,Black,Kenya,Kenya,Kenya,Swahili,Yes,Part-Time,2025-03-04 03:21:29,2025-03-04 03:31:30,IP Address,154.159.238.251,100,600,True,2025-03-04 03:31:30,R_8IAjREengp3IDtY,,,,,1,38,anonymous,ZH-T,664b5195ae42ba03b70189c6,strongly believe,undergraduate (college/University),Once a week,Yes,remain the same,remain the same,very likely to decrease,very likely to increase,very likely to decrease,very likely to increase,definitely increase,very likely to increase,definitely increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,very likely to decrease,very likely to decrease,664b5195ae42ba03b70189c6
63,67c6b7e98c5d1637a91c70e5,65c6f3d412b2fc050e5380ca,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:04.139000Z,2025-03-04T08:29:26.358000Z,,2025-03-04T08:29:27.098286Z,503.0,NOCODE,71,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:21:06,2025-03-04 03:27:23,IP Address,102.182.206.227,100,376,True,2025-03-04 03:27:24,R_21zItwAwdjZFC12,,,,,-33.914,18.4129,anonymous,ZH-T,65c6f3d412b2fc050e5380ca,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,definitely increase,definitely increase,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,remain the same,may increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,65c6f3d412b2fc050e5380ca
64,67c6b7f2a1883d376250e59b,65e08edff6fbff28c8e191c7,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:14.916000Z,2025-03-04T08:31:59.743000Z,,2025-03-04T08:32:00.282061Z,645.0,NOCODE,81,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:23:11,2025-03-04 03:31:25,IP Address,41.3.231.74,100,493,True,2025-03-04 03:31:26,R_8HUrbBCSomHxfiH,,,,,-33.7338,18.9716,anonymous,ZH-T,65e08edff6fbff28c8e191c7,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,definitely increase,remain the same,definitely increase,65e08edff6fbff28c8e191c7
65,67c6b7f35793c1ed08ec6cb0,60e8aa96626c3b5a6a810097,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:16.552000Z,2025-03-04T08:27:55.032000Z,,2025-03-04T08:27:55.632797Z,399.0,NOCODE,148,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,28,Female,White,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:21:37,2025-03-04 03:26:33,IP Address,102.182.142.224,100,296,True,2025-03-04 03:26:34,R_2CUFQhjzFhpy3p6,,,,,-33.9258,18.4259,anonymous,ZH-T,60e8aa96626c3b5a6a810097,strongly believe,high school,Daily or more,Yes,remain the same,definitely increase,may increase,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,may increase,definitely increase,60e8aa96626c3b5a6a810097
66,67c6b7f35793c1ed08ec6cb0,60e8aa96626c3b5a6a810097,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:16.552000Z,2025-03-04T08:27:55.032000Z,,2025-03-04T08:27:55.632797Z,399.0,NOCODE,148,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,28,Female,White,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:27:43,2025-03-04 03:29:59,IP Address,102.182.142.224,100,135,True,2025-03-04 03:30:00,R_8kG2TS51A60V7NZ,,,,,-33.9258,18.4259,anonymous,ZH-T,60e8aa96626c3b5a6a810097,strongly believe,high school,Daily or more,Yes,remain the same,definitely increase,may increase,definitely increase,remain the same,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,very likely to increase,60e8aa96626c3b5a6a810097
67,67c6b7fa265521e46ec5b1f5,67c03feb02005893d28221ea,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:35.641000Z,2025-03-04T08:29:46.437000Z,,2025-03-04T08:29:47.436471Z,491.0,NOCODE,2,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, French",Yes. Both public and private,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,2025-03-04 03:21:48,2025-03-04 03:29:03,IP Address,165.165.110.57,100,435,True,2025-03-04 03:29:04,R_2RN2h3h5FU2orBf,,,,,-26.2309,28.0583,anonymous,ZH-T,67c03feb02005893d28221ea,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,may increase,may increase,may increase,may increase,may increase,definitely increase,remain the same,may increase,may increase,very likely to increase,may increase,remain the same,remain the same,very likely to increase,very likely to increase,67c03feb02005893d28221ea
68,67c6b7fb401f2065dce69fff,67458f1a077caa588898c17c,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:43.287000Z,2025-03-04T08:27:46.327000Z,,2025-03-04T08:27:46.906007Z,364.0,67458f1a077caa588898c17c,8,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),2025-03-04 03:21:53,2025-03-04 03:26:42,IP Address,196.21.104.4,100,288,True,2025-03-04 03:26:42,R_2PLSZ8lzFfCxlE4,,,,,-32.781,26.8368,anonymous,ZH-T,67458f1a077caa588898c17c,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,may increase,may increase,definitely increase,definitely increase,definitely increase,definitely increase,67458f1a077caa588898c17c
69,67c6b8014c230ccb74ba7639,66c49547930d772bd1c165af,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:56.894000Z,2025-03-04T08:25:11.821000Z,,2025-03-04T08:25:12.451996Z,195.0,NOCODE,130,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English, French",Yes. Both public and private,30,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:21:59,2025-03-04 03:24:59,IP Address,102.219.163.253,100,179,True,2025-03-04 03:25:00,R_8nSDNaXKBRiimm1,,,,,-26.2309,28.0583,anonymous,ZH-T,66c49547930d772bd1c165af,strongly believe,undergraduate (college/University),Once a week,Yes,definitely increase,definitely increase,very likely to decrease,may increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,66c49547930d772bd1c165af
70,67c6b8025793c1ed08ec6cb8,673da7f4fd418f29984a89cf,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:53.723000Z,2025-03-04T08:28:44.493000Z,,2025-03-04T08:28:45.241079Z,411.0,NOCODE,71,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Afrikaans, German, Dutch, Dari, Chinese, Catalan, Bulgarian, Bengali, Malayalam, Telugu, Vietnamese, Ukrainian, Swedish, Spanish, Slovenian, Russian, Romanian, Portuguese, Norwegian, Malay, Latvian, Laotian, Italian, Indonesian, Hebrew, Hindi, Greek, French, Finnish, Basque, Arabic, Croatian, Danish, Korean, Slovak, Turkish",Yes. Both public and private,49,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:21:56,2025-03-04 03:28:12,IP Address,41.145.192.172,100,375,True,2025-03-04 03:28:12,R_2q9mJM4zvbUrAdY,,,,,-26.2309,28.0583,anonymous,ZH-T,673da7f4fd418f29984a89cf,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,definitely increase,remain the same,remain the same,remain the same,may increase,very likely to increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,may decrease,673da7f4fd418f29984a89cf
71,67c6b806e4a886688027bdeb,6692afa6bb7b12ea07219046,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:53.632000Z,2025-03-04T08:27:24.152000Z,,2025-03-04T08:27:24.874198Z,331.0,NOCODE,131,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,58,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:21:56,2025-03-04 03:27:03,IP Address,41.150.49.139,100,306,True,2025-03-04 03:27:03,R_8C8RABQNNAwI5fC,,,,,-25.757,28.1443,anonymous,ZH-T,6692afa6bb7b12ea07219046,strongly believe,undergraduate (college/University),Daily or more,Yes,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,6692afa6bb7b12ea07219046
72,67c6b8079bf7e71008c66344,615f65bcafedd6ab1c54fa29,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:41.332000Z,2025-03-04T08:27:47.505000Z,,2025-03-04T08:27:48.339866Z,367.0,NOCODE,48,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:21:45,2025-03-04 03:26:45,IP Address,164.151.64.2,100,300,True,2025-03-04 03:26:45,R_2tb3egqYbd4jHPD,,,,,-33.0354,27.9159,anonymous,ZH-T,615f65bcafedd6ab1c54fa29,strongly believe,undergraduate (college/University),Once a week,Yes,remain the same,definitely increase,remain the same,definitely increase,remain the same,remain the same,definitely increase,definitely increase,may increase,definitely increase,may increase,may increase,remain the same,definitely increase,remain the same,definitely increase,615f65bcafedd6ab1c54fa29
73,67c6b811be1d2e0e931cca49,65df9b39f13b033e7b673d55,AWAITING REVIEW,Not Applicable,2025-03-04T08:21:37.957000Z,2025-03-04T08:30:58.375000Z,,2025-03-04T08:30:58.958532Z,561.0,NOCODE,119,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","Afrikaans, English",Yes. Both public and private,44,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time,2025-03-04 03:21:52,2025-03-04 03:30:31,IP Address,41.116.56.188,100,519,True,2025-03-04 03:30:32,R_8AHDmFJll4DCODz,,,,,-26.2309,28.0583,anonymous,ZH-T,65df9b39f13b033e7b673d55,strongly believe,graduate school (postgraduate),Daily or more,Yes,definitely increase,may increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,very likely to increase,very likely to increase,definitely increase,definitely increase,very likely to increase,definitely increase,definitely increase,definitely increase,very likely to increase,65df9b39f13b033e7b673d55
74,67c6b8241e1324109e4c6923,615fe1aaa6cb24b63199aa82,AWAITING REVIEW,Not Applicable,2025-03-04T08:23:11.001000Z,2025-03-04T08:28:10.791000Z,,2025-03-04T08:28:11.294169Z,300.0,NOCODE,361,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:23:14,2025-03-04 03:27:28,IP Address,197.185.254.161,100,253,True,2025-03-04 03:27:29,R_8z07gHaAXGR5qDf,,,,,-26.2309,28.0583,anonymous,ZH-T,615fe1aaa6cb24b63199aa82,strongly believe,vocational/technical school,Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,stay the same,615fe1aaa6cb24b63199aa82
75,67c6b82830e37cd0b6e6a08d,66c4942d5a2a99590aab49e3,AWAITING REVIEW,Not Applicable,2025-03-04T08:22:26.681000Z,2025-03-04T08:31:18.482000Z,,2025-03-04T08:31:19.342658Z,532.0,NOCODE,52,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),2025-03-04 03:22:32,2025-03-04 03:29:59,IP Address,102.214.22.137,100,447,True,2025-03-04 03:29:59,R_1nr75R0Z9PCrhmH,,,,,-26.2309,28.0583,anonymous,ZH-T,66c4942d5a2a99590aab49e3,strongly believe,undergraduate (college/University),Once a week,Yes,definitely increase,definitely increase,remain the same,definitely increase,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,may increase,remain the same,definitely increase,66c4942d5a2a99590aab49e3
76,67c6b84a53766f6e72b427d3,67665f7b0329bd3e30515ad2,AWAITING REVIEW,Not Applicable,2025-03-04T08:22:41.308000Z,2025-03-04T08:26:20.460000Z,,2025-03-04T08:26:21.111133Z,220.0,NOCODE,23,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)","English, Other",Yes. Both public and private,34,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,2025-03-04 03:22:43,2025-03-04 03:25:42,IP Address,82.9.25.233,100,178,True,2025-03-04 03:25:42,R_8QukIMmsb5rDZPf,,,,,51.5689,0.008,anonymous,ZH-T,67665f7b0329bd3e30515ad2,strongly believe,graduate school (postgraduate),Daily or more,Yes,remain the same,definitely increase,may increase,remain the same,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,definitely increase,definitely increase,remain the same,remain the same,remain the same,definitely increase,67665f7b0329bd3e30515ad2
77,67c6b84cdb25e77a401ceb65,67154a76740a909d26102042,AWAITING REVIEW,Not Applicable,2025-03-04T08:23:20.781000Z,2025-03-04T08:29:57.132000Z,,2025-03-04T08:29:57.763902Z,397.0,NOCODE,17,"Christianity (e.g. Baptist, Church of England, Roman Catholic, Methodist, Jehovah Witness,  etc.)",English,Yes. Both public and private,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,2025-03-04 03:23:39,2025-03-04 03:29:00,IP Address,105.245.163.125,100,321,True,2025-03-04 03:29:01,R_8TSk7mtbLasU6D7,,,,,-29.8553,31.0428,anonymous,ZH-T,67154a76740a909d26102042,strongly believe,undergraduate (college/University),Daily or more,Yes,remain the same,remain the same,remain the same,remain the same,definitely increase,definitely increase,remain the same,remain the same,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,definitely increase,remain the same,stay the same,67154a76740a909d26102042
